Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773827304,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773827305,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773827306,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773827307,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773827308,10,,Aggregated,0.000000,0.000000,2600,2600,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,1,2600.0,2736.105099999501,2585.6436000030953,3035.924399999203,94.66666666666667
1773827309,12,,Aggregated,0.000000,0.000000,2600,2600,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,1,2600.0,2575.199024999165,2092.4807999981567,3035.924399999203,103.75
1773827310,14,,Aggregated,0.000000,0.000000,2600,2600,3000,3500,5200,5200,5200,5200,5200,5200,5200,9,2,2600.0,2596.0354000013062,72.34129999415018,5231.650600006105,151.66666666666666
1773827311,16,,Aggregated,0.750000,0.250000,2100,2600,2600,3000,3500,5200,5200,5200,5200,5200,5200,13,3,2100.0,2130.444607690711,2.253199985716492,5231.650600006105,136.92307692307693
1773827312,18,,Aggregated,1.500000,0.333333,2100,2100,2600,2800,3500,5200,5200,5200,5200,5200,5200,18,3,2000.0,1811.6355166647636,1.822199992602691,5231.650600006105,146.5
1773827313,20,,Aggregated,1.857143,0.428571,2000,2100,2600,2600,3000,3500,5200,5200,5200,5200,5200,24,5,2000.0,1553.611208330646,1.822199992602691,5231.650600006105,133.54166666666666
1773827314,20,,Aggregated,2.125000,0.375000,2000,2100,2600,2600,3000,3500,5200,5200,5200,5200,5200,28,5,2000.0,1506.5479178551218,1.822199992602691,5231.650600006105,140.39285714285714
1773827315,20,,Aggregated,2.125000,0.375000,2000,2100,2600,2600,3000,3800,5200,5200,5200,5200,5200,32,6,1900.0,1506.0988749983153,1.822199992602691,5231.650600006105,148.4375
1773827316,20,,Aggregated,2.333333,0.444444,2000,2100,2600,2700,3700,3800,5200,5200,5200,5200,5200,36,7,2000.0,1622.0902472204116,1.822199992602691,5231.650600006105,154.69444444444446
1773827317,20,,Aggregated,2.600000,0.500000,2000,2100,2600,2800,3700,3800,5200,5200,5200,5200,5200,39,8,2000.0,1643.267956407866,1.822199992602691,5231.650600006105,160.43589743589743
1773827318,20,,Aggregated,3.200000,0.600000,1700,2000,2100,2600,3700,3700,5200,5200,5200,5200,5200,50,13,830.0,1424.0207859990187,1.822199992602691,5231.650600006105,151.14
1773827319,20,,Aggregated,3.600000,0.700000,1500,2000,2100,2600,3500,3700,3800,5200,5200,5200,5200,54,14,830.0,1376.062237035108,1.822199992602691,5231.650600006105,155.11111111111111
1773827320,20,,Aggregated,3.900000,0.800000,830,2000,2100,2600,3500,3700,3800,5200,5200,5200,5200,55,15,830.0,1359.8676599985497,1.822199992602691,5231.650600006105,152.6909090909091
1773827321,20,,Aggregated,5.000000,1.300000,800,1900,2100,2500,3500,3700,3800,5200,5200,5200,5200,60,16,700.0,1275.7280983321834,1.8050000071525574,5231.650600006105,149.06666666666666
1773827322,20,,Aggregated,5.000000,1.300000,700,1900,2100,2500,3200,3700,3800,5200,5200,5200,5200,69,18,700.0,1272.6541753606095,1.8050000071525574,5231.650600006105,155.2608695652174
1773827323,20,,Aggregated,4.600000,1.300000,810,1900,2100,2200,3000,3700,3800,5200,5200,5200,5200,72,18,800.0,1262.5234722205885,1.8050000071525574,5231.650600006105,162.66666666666666
1773827324,20,,Aggregated,4.300000,1.200000,700,1700,2000,2100,3000,3700,3800,5200,5200,5200,5200,78,20,600.0,1203.177297434871,1.6552000015508384,5231.650600006105,160.02564102564102
1773827325,20,,Aggregated,5.200000,1.500000,600,1700,2000,2100,3000,3700,3800,5200,5200,5200,5200,79,21,600.0,1189.4490101254587,1.6552000015508384,5231.650600006105,158.27848101265823
1773827326,20,,Aggregated,5.200000,1.500000,700,1700,2000,2100,2800,3700,3800,5200,5200,5200,5200,82,23,600.0,1173.6319109747078,1.6552000015508384,5231.650600006105,154.6219512195122
1773827327,20,,Aggregated,4.700000,1.500000,600,1500,2000,2100,2800,3700,3800,5200,5200,5200,5200,89,24,600.0,1128.723408988274,1.6552000015508384,5231.650600006105,151.53932584269663
1773827328,20,,Aggregated,4.400000,1.500000,790,1700,2000,2200,3000,3700,3800,5200,5200,5200,5200,98,24,700.0,1195.7792653054787,1.6552000015508384,5231.650600006105,164.08163265306123
1773827329,20,,Aggregated,4.900000,1.500000,650,1500,2000,2100,2800,3500,3700,3800,5200,5200,5200,103,27,650.0,1144.0990320381425,1.6552000015508384,5231.650600006105,161.2621359223301
1773827330,20,,Aggregated,4.600000,1.100000,590,1500,2000,2100,2800,3500,3700,3800,5200,5200,5200,108,28,540.0,1099.875790740178,1.6552000015508384,5231.650600006105,158.85185185185185
1773827331,20,,Aggregated,4.600000,1.100000,540,1200,1900,2100,2700,3500,3700,3800,5200,5200,5200,113,30,540.0,1068.4170265482694,1.6552000015508384,5231.650600006105,159.26548672566372
1773827332,20,,Aggregated,4.800000,1.200000,540,1200,1900,2100,2700,3500,3700,3800,5200,5200,5200,114,30,540.0,1061.0119245607884,1.6552000015508384,5231.650600006105,159.01754385964912
1773827333,20,,Aggregated,4.900000,1.200000,590,1200,1900,2000,2700,3500,3700,3800,5200,5200,5200,117,31,590.0,1051.2651008542362,1.6552000015508384,5231.650600006105,157.36752136752136
1773827334,20,,Aggregated,4.500000,1.200000,620,970,1900,2000,2700,3400,3700,3800,5200,5200,5200,124,35,600.0,1050.4177137094478,1.6552000015508384,5231.650600006105,152.36290322580646
1773827335,20,,Aggregated,4.500000,1.300000,650,1200,1900,2100,2800,3400,3700,3800,5200,5200,5200,133,36,650.0,1088.8119887217488,1.6552000015508384,5231.650600006105,159.21052631578948
1773827336,20,,Aggregated,4.300000,1.300000,620,1200,1900,2100,2800,3400,3700,3800,5200,5200,5200,137,36,620.0,1061.9519372261639,1.6429999959655106,5231.650600006105,159.86131386861314
1773827337,20,,Aggregated,4.600000,1.400000,590,980,1900,2000,2800,3200,3700,3800,5200,5200,5200,141,37,590.0,1034.5879744677243,1.6429999959655106,5231.650600006105,158.2695035460993
1773827338,20,,Aggregated,5.600000,1.400000,570,970,1800,2000,2800,3200,3700,3800,5200,5200,5200,146,37,540.0,1007.8799541091167,1.6429999959655106,5231.650600006105,158.71917808219177
1773827339,20,,Aggregated,5.600000,1.400000,530,960,1800,2000,2700,3200,3700,3800,5200,5200,5200,151,39,530.0,977.2890225164238,1.6429999959655106,5231.650600006105,156.35761589403972
1773827340,20,,Aggregated,5.100000,1.300000,540,960,1800,2000,2700,3200,3700,3800,5200,5200,5200,152,40,530.0,974.6041763156475,1.6429999959655106,5231.650600006105,155.47368421052633
1773827341,20,,Aggregated,4.900000,1.300000,550,960,1700,2000,2700,3200,3700,3800,5200,5200,5200,162,43,540.0,972.3393049383576,1.6429999959655106,5231.650600006105,151.94444444444446
1773827342,20,,Aggregated,4.800000,1.300000,550,970,1700,2000,2700,3200,3700,3800,5200,5200,5200,166,44,540.0,985.5170753014454,1.6429999959655106,5231.650600006105,153.90361445783134
1773827343,20,,Aggregated,4.700000,1.300000,550,920,1700,2000,2700,3200,3700,3800,5200,5200,5200,171,45,550.0,973.8449093569833,1.6429999959655106,5231.650600006105,152.59649122807016
1773827344,20,,Aggregated,4.700000,1.300000,550,920,1700,2000,2700,3200,3700,3800,5200,5200,5200,178,45,540.0,967.5936320228594,1.4389000134542584,5231.650600006105,154.6573033707865
1773827345,20,,Aggregated,4.900000,1.300000,550,960,1700,2000,2600,3100,3700,3800,5200,5200,5200,184,45,540.0,970.1286847829697,1.4389000134542584,5231.650600006105,158.1086956521739
